title,content,image
"turi 400 tūkst. mobiliųjų aplikacijų kūrėjams sukurti mobiliąją aplikaciją,","kūrėjams sutartį su aplikacijų parda- Dabar bet kuris žmogus bet
vėju pasirašyti internetu. Viskas pa- kurioje pasaulio vietoje gali
prasta, mobiliųjų aplikacijų kūrėjams sukurti mobiliąją aplikaciją,
nebereikia belstis į niekieno duris.       per dešimt minučių ją įkelti
                                           į aplikacijų parduotuvę ir
     Dabar bet kuris žmogus bet ku-
                                           jau kitą dieną gauti pelną.
rioje pasaulio vietoje gali sukurti
mobiliąją aplikaciją, per dešimt minučių ją įkelti į aplikacijų
parduotuvę ir jau kitą dieną gauti pelną. „GetJar“ šiuo metu
turi 400 tūkst. mobiliųjų aplikacijų kūrėjų ir iš viso platina
750 tūkst. skirtingų aplikacijų. Ar galite įsivaizduoti, kiek rei-
kėtų papildomai įdarbinti žmonių, jei viskas vyktų tradiciniu
būdu, – kompanija susitiktų su aplikacijų kūrėjais ir pasirašy-
tų popierines sutartis. Vien pačios sutartys prilygtų 20 aukš-
tų namui! Jei verslas nebūtų tapęs modernus, gyventume tarp
daugybės kalnų tokių popierių. Greičiausiai niekur toli ir ne-
būtume pajudėję nuo tų laikų, kai teko beldžiantis į didžiųjų
operatorių duris prašytis priimamiems į jų gretas.
     Šiandien daugelis, net apie 80 proc. mobiliųjų aplikacijų,
yra sukurta mažų įmonių arba net pavienių žmonių. Net ir įmo-
nes dažnai sudaro trys žmonės. Dabar tiek daug įvairių medijos
priemonių leidžia verslą kurti lengviau nei bet kada anksčiau.
Vienu paspaudimu „Facebook“ galima pasiekti šimtus milijo-
nų vartotojų visame pasaulyje ir mokyklos nebaigęs moksleivis
turi realų šansą tapti milijonieriumi. Juk anksčiau tokių rezul-
tatų turėdavo siekti milžiniškos rinkodaros komandos.
     Šiuolaikiniam pasauliui taip pat reikia idėjų ir žmonių,
norinčių bei galinčių pakeisti mus supantį pasaulį. Ir tam, kad
pradėtumėte savo verslą, nebereikia milžiniškų pastangų. Nei
studentas, nei programuotojas, turintis gerą idėją, nebepriva-
lo turėti specialių verslo vadybos žinių, svarbiausia – idėja ir
jos įgyvendinimas. Pavyzdžiui, kad ir garsiosios amerikiečių
verslininkų Rockefellerių dinastijos laikais, norint pasiekti
gerų rezultatų versle, reikėjo būti itin puikiu organizatoriumi.
Tačiau šiandien sėkmingas verslininkas yra tas žmogus, kuris
                                              verslas naujai 19
",https://images.unsplash.com/photo-1526865762123-f47ced7511bd?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
niką vienose ar kitose rungtynėse. Tačiau jei pats norite būti Tačiau nors ir atmintinai iškaltu-,"Jei pats norite būti                    Tačiau nors ir atmintinai iškaltu-
krepšininkas, turite ne tik        mėte krepšinio žaidimo taisyklių kny-
knygą po paranke pasikišęs         gą, tai nereiškia, kad būsite pasiruo-
vaikščioti pas patarti             šęs žaisti aukščiausiu lygiu. Visiškai
galinčius specialistus, bet        priešingai, aikštelėje tik teorinių žinių
ir dienų dienas prakaitą
                                   turintis žaidėjas gali būti vertas nulio.
lieti krepšinio aikštelėje
kartu su savo komanda.
                                   Juk jis nieko nežino – nei turi patirties
                                   žaidžiant su komanda, nei yra matęs
        praktinių situacijų, galų gale toks žaidėjas nežino net ir tikrųjų
        savo galimybių. Vadovėlis viso to ir negali suteikti. Galite per
        dienas ir naktis skaityti apie krepšinį, analizuoti žaidimo situ-
        acijas, kalbėtis su draugais apie profesionalių krepšininkų tech-
        niką vienose ar kitose rungtynėse. Tačiau jei pats norite būti
        krepšininkas, turite ne tik knygą po paranke pasikišęs vaikš-
        čioti pas jums patarti galinčius specialistus, bet ir dienų dienas
        prakaitą lieti krepšinio aikštelėje kartu su savo komanda.
              Tik praktika ir galimybė mokytis iš savo klaidų leis judėti
        į priekį ir siekti užsibrėžtų tikslų. Lietuvoje už krepšinio aikš-
        telės ribų komandos dvasia dar dažnai pamirštama. Bet tik pa-
        galvokite, kokių rezultatų būtų galima pasiekti, jei visa koman-
        da ryžtingai ir motyvuotai judėtų į priekį taip, kaip krepšinio
        komanda išeina į aikštelę laimėti aukso.
              Turime visko, ko reikia
        Tai labai paprasti ir elementarūs principai. Bet kodėl jie iki šiol ma-
        tomi tik žaidimų aikštelėje ir kaip kokia legenda apie nepasiekia-
        mą gėrį, egzistuojantį tik kitose šalyse, sunkiai skinasi kelią mūsų
        šalyje? Mes nesame kitokie: esame talentingi ir gabūs ir turime vi-
        sas galimybes būti nugalėtojais. Amerikoje pirmųjų ekonomikos
        dėsnių vaikai mokosi dar paauglystėje, kišenpinigių užsidirbdami
        „McDonalds“ restorane. Tad neretai Silicio slėnio vaikai per savo
        laisvalaikio darbus, draugus, televiziją jau žino apie rizikos kapi-
        talą daugiau, nei Lietuvoje studentai išmoksta per paskaitas.
              24  ilja laurs
",https://images.unsplash.com/photo-1532543758257-0f4e06e08aec?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
kos kapitalas ir kaip juos taikyti šiuolaikinia-,"      Žinoma, mūsų šalies istorija kitokia nei Amerikos, turime
dar labai daug ko išmokti. Rinkos ekonomikos dėsniai mums
iš tiesų dar nauji. Tačiau pats verslas iš esmės tiek pasikeitė, kad
visas pasaulis šiuo metu mokosi naujų dėsnių. Tai keičia ne tik
verslo modelį − tai keičia visuomenę.
      Bazinės žinios mums itin reikalingos. Ši knyga nepreten-
duoja į itin sudėtingą ekonomikos dėsnių analizę, tačiau norė-
čiau su visais pasidalyti žiniomis, jog šių Studentas tuščiomis
dienų verslininkui nebereikia 10–30 metų kišenėmis, tačiau su
patirties versle. Studentas tuščiomis ki- gera idėja, gali sukurti
šenėmis, tačiau su gera idėja, gali sukurti įspūdingą verslą ir savo
įspūdingą verslą ir savo produktu pasitar- produktu pasitarnauti
nauti visuomenei.                                visuomenei.
      Gavusi šiek tiek žinių Lietuva jau rodo įspūdingus rezul-
tatus. Helsinkyje vykusiame verslininkų ir jaunimo susitikime
iš 100 pasiūlytų idėjų 400 profesionalių, patyrusių verslininkų
atrinko 20 stipriausių. Tarp jų net 5 idėjos buvo lietuvių darbas.
Šiame renginyje dalyvavo Latvijos, Lenkijos, Vokietijos, Suo-
mijos, Norvegijos, Švedijos šalių atstovai, o lietuvaičiai suge-
bėjo pasiūlyti net ketvirtadalį geriausių idėjų. Juk kai kurios iš
šių valstybių turi gana ilgą patirtį tiek rinkos ekonomikos, tiek
įvairiuose IT ir telekomunikacijų versluose. Vadinasi, akivaiz-
du, kad turime idėjų, turime ir entuziazmo, betrūksta tik žinių.
      Prieš penkerius metus net aš pats nežinojau, kas yra rizi-
kos kapitalas ir kaip jis veikia. Teko pasimokyti, kol suvokiau
visus naujuosius verslo dėsnius ir kaip juos taikyti šiuolaikinia-
me greitai besikeičiančiame pasaulyje.
      Šiandien vis daugiau jaunimo susitinka, kalbasi, skaito,
kartu diskutuoja įvairiuose startup’erių klubuose. Gyvenimas
po truputį pradeda virti ir Lietuvoje. Tiesiog svarbu suprasti,
kad pačioms geriausioms ir įspūdingiausioms idėjoms reikia
žinių, o ne ištaigingų rūmų. Amerikoje jos gimė garažuose ir
iki šiol tebestebina visą pasaulį. Ir, manau, kad dar ilgai stebins.
",https://images.unsplash.com/photo-1488590528505-98d2b5aba04b?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
"Galbūt gali atrodyti, kad kai kurie žmonės imasi verslo, nes ši veikla sutampa su jų gyvenimo","Ar imtis verslo?
Apie tortus ir pelno nesiekiančius italus. Pakeisti
pasaulį ar uždirbti milijoną? Nuo keleto mokinių iki
100 mln. vartotojų. Maži verslai, dideli tikslai.
Verslininkai be sentimentų. Per kelerius metus −
į „Google“ viceprezidentus.
Gana sudėtinga atsakyti, ar reikėtų imtis verslo. Tik mes patys
žinome, kokia veikla mums artimiausia ir leidžia įgyvendinti
norus bei siekti užsibrėžtų tikslų. Tačiau, mano manymu, daž-
nai žmonės nesupranta verslo esmės ir praleidžia daugybę pui-
kių galimybių.
     Galbūt gali atrodyti, kad kai kurie žmonės imasi verslo,
nes ieško vien finansinės naudos. Tačiau pabendravęs su skir-
tingais verslininkais supratau, kad piniginis atlygis tikrai nėra
vienas iš stipriausių motyvų pradėti savo verslą.
     Vieni imasi verslo, nes ši veikla sutampa su jų gyvenimo
būdu. Pavyzdžiui, labai dažnai tokiu pagrindu veikia šeimy-
niniai restoranai, vynuogynai, dizaino namai, įvairios ama-
tų dirbtuvės, viešbučiai. Tarkime, gyvenate prie jūros, turite
nedidelį namelį ir vasarą jame apgyvendinate svečius. Jums
patinka toks gyvenimo būdo stilius ir iš to galite užsidirbti.
Tai ypač būdinga senesniems verslams, gyvavusiems XX a.
pradžioje. Viešbutis, restoranas ar kita maža įmonė dažniau-
     26   ilja laurs
",https://images.unsplash.com/photo-1551224820-ad4d0e716932?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
Labiausiai motyvuoti verslą kur-,"siai priklausė šeimai. Užaugęs sūnus tradiciškai perimdavo
verslą.
      Tokių mažų privačių verslų daug Amerikoje, Europoje.
Pavyzdžiui, Italijoje paklausiau restorano savininko, kodėl jo
restorane tokios mažos kainos, ir jis man atsakė, kad gaunamų
pinigų pakanka jo gyvenimo stiliui. Tad pinigai šio restorano
savininkui nėra pagrindinė motyvacija.
      Tokio tipo verslą gana sunku prognozuoti arba su juo kon-
kuruoti pagal klasikinės ekonomikos modelius, pavyzdžiui,
kokius taikė klasikinės ekonomikos atstovai Johnas Maynardas
Keynesas ir Adamas Smithas. Juk viena iš pagrindinių klasiki-
nės ekonomikos idėjų – verslas privalo siekti didžiausio pelno.
      Apie klasikinės ekonomikos idėjas rašoma daugelyje eko-
nomikos teorijos vadovėlių, bet žmonėms, kurie pelną gauna iš
verslo, tapusio gyvenimo būdu, sunku taikyti klasikinės eko-
nomikos dėsnius. Minėtas restorano savininkas nenorės kelti
kainos ar plėsti savo verslo. Jo veikla skirta ne tam.
      Naujesni verslai, ypač atsiradus internetui, yra kitokie.
Nors ir čia pasitaiko išimčių. Štai mano pusbrolis nuo pat vai-
kystės rašo programas žaidimams, vėliau įkūrė kompaniją
„Eligo Games“. Tačiau į žaidimų pasaulį jis pasinėrė ne tam,
kad užsidirbtų. Jį tiesiog be galo domina pats kūrybos proce-
sas. Jo tikslas, kaip ir daugelio, užsidirbančių iš savo gyvenimo
būdo, – daryti tai, kas malonu!
      Tobulybės paieškos dažnai atsiperka
Naujuose verslo modeliuose veikia kitokie dėsniai ir jie nėra
paremti vien gyvenimo būdo diktuojamo ritmo. Mano many-
mu, labiausiai motyvuoti verslą kur-
                                            Labiausiai motyvuoti verslą
ti tie žmonės, kurie trokšta pakeisti
                                            kurti tie žmonės, kurie
pasaulį. Noras padaryti kažką nepa-
                                            trokšta pakeisti pasaulį.
prasto tampa stipriausiu postūmiu
imtis verslo.
                                               verslas naujai 27
",https://images.unsplash.com/photo-1515586175273-a732c6625a51?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
"metu ir taip buvo be galo turtinga. S. Jobsas kūrė „iPhone“, „iPad“ ir kitus naujausios kar-","      Tai ypač prasminga, nes žmogus, įgyvendinęs savo idėją,
pajunta vidinį pasitenkinimą. Tačiau kaip ir versle, gimusiame
iš gyvenimo būdo, taip ir žmogui, savo idėja norinčiam pakeisti
pasaulį, pinigai nėra svarbiausias tikslas. Verslininkui, parduo-
dančiam savo idėją, labiausiai rūpės ją tinkamai įgyvendinti ir
paskleisti, o ne iš jos gauti didžiausią pelną.
      Dažniausiai tokioms kompanijoms ypač svarbi kokybė.
Steve`as Jobsas kūrė „iPhone“, „iPad“ ir kitus naujausios kar-
tos įrenginius ne todėl, kad norėjo iš to užsidirbti. „Apple“ tuo
metu ir taip buvo be galo turtinga. S. Jobsas kūrė šiuos produk-
tus, nes buvo perfekcionistas ir siekė tobulybės.
      Tikiu, kad žmonės, versle besistengiantys įgyvendinti savo
idėją, dažniausiai laimi, nes puoselėdami savo idėją natūraliai
siekia geriausios kokybės ir ilgalaikės ekonominės naudos.
      Tačiau jei kompanijos vadovas nori gauti vien didžiausias
pajamas iš savo verslo, jis gaus ir trumpalaikę su tuo susijusią
ekonominę naudą. Norėčiau prisiminti klasikinį pavyzdį apie
torto kepėją. Jei kepėjas nusprendė, kad gali užsidirbti iš to, jog
naudos prastesnį cukrų ar į tešlą įmaišys ne tokio gero, kaip
įprastai, sviesto, jo išlaidos bus kur kas mažesnės. Iš kitokių
ingredientų iškeptas tortas gali skirtis labai nedaug. Deja, pir-
kėjas tai pastebės ir kito gaminio iš šio kepėjo nebepirks.
      Tad iš tiesų: jei sieksime didžiausio pelno, o ne kokybiško
produkto ar tobulos idėjos – galime labai apsirikti. Žmonės,
kuriems visų pirma rūpi gera idėja, sukuria geresnį produktą
ir laimi finansiškai.
      Man pačiam teko sukurti daugiau nei 20 verslo idėjų. Tuo
metu mobiliųjų telefonų aplikacijų projektas „GetJar“ net ne-
buvo kurtas kaip komercinis verslo projektas. Tai visų pirma
buvo bendruomeninis projektas, mums ypač rūpėjo aplikacijas
išbandyti su kuo daugiau mobiliųjų telefonų. O jų rinkoje buvo
tūkstančiai! Darbe neturėjome tiek, kiek reikėjo.
      Tad nusprendėme sukurtas aplikacijas dėti į interneto
svetainę ir leisti jas nemokamai parsisiųsti bei išbandyti bet
      28  ilja laurs
",https://images.unsplash.com/photo-1510736769521-207ed84f191e?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
"te. Būtent studijų metais kambario ar produktu. Tad jausmas, kad dabar „GetJar“","    Verslo pradžia − kaip makaronų mėtymas ant sienos:
    				                                       prilips arba ne
kuriam vartotojui. Kadangi projektas buvo bandomasis ir
mums labai brangus – kokybė buvo itin svarbi. Vėliau pama-
čiau, kad daugelis žmonių nori naudotis nemokamomis tele-
fonų aplikacijomis. Tad po metų nekomercinės „GetJar“ veik-
los supratau, kad ši idėja turi didelę paklausą ir iš jos galima
daryti verslą.
     Žinoma, kiekvienas iš mūsų sėkmę matuojame skirtingai.
Vieniems sėkmė yra naujos pareigos darbe, kitiems − visuo-
meninė padėtis, tretiems sėkmės matas – pinigų kiekis banke.
Asmeniškai man, kaip ir mano pažįstamiems kolegoms versli-
ninkams, sėkmė yra tai, kiek žmonių pasaulyje naudojasi su-
kurta paslauga ar produktu. Tad jausmas, kad dabar „GetJar“
aplikacijų buvo atsisiųsta net 3 mlrd., kai Žemėje gyvena tik
7 mlrd. žmonių, – nepaprastas.
                                          Man ir mano pažįstamiems
     Galbūt sėkmę matuoti pagal
                                          kolegoms verslininkams
tai, kaip plačiai pasklinda mintys sėkmė yra tai, kiek žmonių
ir subrandinta idėja, išmokau dar pasaulyje naudojasi
studijuodamas Vilniaus universite- sukurta paslauga
te. Būtent studijų metais kambario ar produktu.
                                              verslas naujai 29
",https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
kurti interneto svetaines. Verslininkai taip pat leido pajusti ir grįžtamąjį ryšį – tik kur kas daugiau žmonių nei bet kuri kita,"nuomai pinigų užsidirbau vaikus mokydamas anglų kalbos,
ruošdamas juos anglų kalbos egzaminui. Jau tada pastebėjau,
kad perduoti žinias ir stebėti, kaip mokinys po kiekvienos pa-
mokos moka vis daugiau, yra iš tiesų labai gera. Jam žinios
suteikė daugiau galimybių tobulėti. Tuo studijų laikotarpiu
1995–2000 metais supratau, kad kurti tai, kas yra naudinga,
tai, kas gali kitiems padėti siekti naujų tikslų ar galimybių, yra
labai malonus darbas.
      Universitete taip pat gana anksti pamačiau, kaip greitai
auga internetas, ir suvokiau, kad itin sparčiai didėja ir poreikis
kurti interneto svetaines. Verslininkai taip pat turėjo įveikti šį
iššūkį ir pristatyti savo verslą naujoje internetinėje erdvėje.
      Dar vaikystėje net nepradėjęs eiti į mokyklą tėvų inžinie-
rių dėka jau pažinau kompiuterį. Žinoma, aštuntojo dešimtme-
čio pradžioje tai buvo milžiniškos DVK dėžės juodu ekranu ir
žaliomis raidėmis. Tačiau domėjimasis programavimu ir kom-
piuteriais išliko visam gyvenimui, nors to profesionaliai nieka-
da nestudijavau.
      Atsiradus paklausai svetainių kūrimas greitai tapo vienu
iš didžiausių mano užsiėmimų studijų metu. Be to, internetas
taip pat leido pajusti ir grįžtamąjį ryšį – tik kur kas didesnį.
Vienas iš pirmųjų mano klientų buvo Kauno viešbutis „Takioji
Neris“. Iš tiesų tuo metu buvo be galo egzotiška, kad sukurta
interneto svetaine naudojasi šimtai žmonių visame pasaulyje.
Amerikiečiai, australai aplankė svetainę, pamatė nuotraukas ir
po to atvyko į Kauno viešbutį. Suvokiau, kad internetas vienu
metu leidžia pasiekti kur kas daugiau žmonių nei bet kuri kita
tradicinė priemonė. Norėjau išnaudoti šią galimybę.
      Naujausiu mūsų projektu „GetJar Gold“ jau pasinaudojo
100 mln. vartotojų. Tai yra beveik 33 tokios šalys kaip Lietuva!
Tačiau dar nuo tada, kai mokiau anglų kalbos, iki šiol darbe
džiaugiuosi tuo, jog mintys ir perduota idėja žmonėms, kad ir
kurioje pasaulio dalyje jie būtų, leidžia siekti naujų tikslų ir at-
veria daugiau galimybių.
      30  ilja laurs
",https://images.unsplash.com/photo-1508921234172-b68ed335b3e6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
"pats apsispręsti, koks tikslas bebūtų, pinigai yra tik","      Tačiau kiekvienas iš mūsų turi Daug sėkmingų kompanijų
pats apsispręsti, koks tikslas jam svar- pasiekė įspūdingų rezultatų
biausias. Jau fenomenu tapusio „Face- ne todėl, kad troško pelno,
book“ įkūrėjas Markas Zuckerbergas o dėl to, jog tikėjo savo
                                               idėja.
atvirai dalijasi mintimis, kad kuriant
šį unikalų socialinį tinklalapį pagrindinis jo tikslas buvo pa-
keisti pasaulį. Padaryti, kad bendrauti būtų daug paprasčiau ir
įdomiau. Ši idėja nebuvo komercinės prigimties.
      M. Zuckerbergas ragina: „Nepradėk eilinio verslo, sukurk
kažką fundamentalaus“ (angl. Don’t just start a company, do something fun-
damental).
      Kompanijos „Google“ steigėjai Larry’is Page’as ir Sergey’us
Brinas dar 1996 metais sukūrė visiškai naują paieškos algorit-
mą, kuris leido ieškoti informacijos ir ją patogiai rūšiuoti. Ilgą
laiką šis išradimas net nebuvo komerciškai pritaikytas. Teko jį
ilgai tobulinti, daug investuoti, kol pagaliau buvo atrastas vers-
lo modelis, padaręs kompaniją labai turtingą. Daug sėkmingų
kompanijų pasiekė įspūdingų rezultatų ne todėl, kad troško
pelno, o dėl to, jog tikėjo savo idėja.
      Kaip jau minėjau, šio verslo tipo misija kitokia – versli-
ninkai, kurie įgyvendina savo idėjas, nebūtinai sieks mažiau-
sios savikainos ir didžiausios prekės ar paslaugos kainos. Jie
nesivadovaus klasikinės ekonomikos dėsniais ir svarbiausiu
savo tikslu neįvardys pelno. Nesilaikau nuomonės, kad turtas
yra blogis. Tačiau kad ir koks tikslas bebūtų, pinigai yra tik
priemonė. Žinoma, moderni aplinka keičia ir greitį, per kurį
galima sulaukti norimų rezultatų. Anksčiau milijardo vertės
verslui sukurti prireikdavo 10 metų. Pavyzdžiui, viešbučių
tinklo nebuvo įmanoma sukurti greičiau nei per dešimtmetį.
Skaitmeninių technologijų amžiuje laikas, per kurį galima gau-
ti norimus rezultatus, yra daug trumpesnis.
      Greičiausiai išaugusia kompanija šiuo metu laikomas gru-
pinio apsipirkimo portalas „Groupon“ ir internetinių žaidimų
kompanija „Zynga“.
                                                  verslas naujai  31
",https://images.unsplash.com/photo-1530764786044-f799b47b58f2?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
"JAV dolerių, o portalo „Groupon“ vertė per aštuonerius metus pa-","      „Zynga“ vertė per ketverius metus išaugo nuo 0 iki 7 mlrd.
JAV dolerių, o portalo „Groupon“ vertė per trejus metus −
13 mlrd. JAV dolerių. Tačiau lyderis šioje srityje išlieka „Face-
book“. Socialinio tinklalapio vertė per aštuonerius metus pa-
siekė rekordinę sumą – 100 mlrd. JAV dolerių.
      Didžiausias pelnas tenka tik dirbantiems kokybiškai
Finansinė laisvė yra labai galingas veiksnys. Pinigai padeda
įgyvendinti daug norų, patenkinti nemažai įvairių poreikių,
leidžia jaustis saugiau dėl savęs ir savo šeimos ateities.
      Iš to, ką pastebiu Silicio slėnyje ir savo aplinkoje Lietuvoje,
galiu pasakyti, kad visų pirma, kaip aptariau anksčiau, domi-
nuoja siekis įgyvendinti idėją, tačiau vis dėlto antroje vietoje –
noras užsidirbti.
      Nemažai verslininkų pradeda verslą vien tam, kad uždirb-
tų kuo daugiau pinigų. Mano manymu, apie 30 proc. verslinin-
kų Amerikoje, Didžiojoje Britanijoje bei Vakarų Europoje su-
interesuoti kurti ir parduoti verslus tik dėl finansinės naudos.
Vadinamieji serijiniai verslininkai (angl. serial entrepreneur) nejau-
čia sentimentų sukurtam produktui ar paslaugai ir laukia kuo
didžiausio pelno. Čia jau galima taikyti klasikinės ekonomikos
dėsnius, kurie padeda pasiekti geriausių rezultatų. Tačiau ir
šiuo atveju sėkmė dažniausiai aplanko tuos, kurie kuria koky-
bišką prekę ar paslaugą.
      Tipišku serijiniu verslininku galėčiau pavadinti savo drau-
gą Amerikoje Omarą Hamoui, kuris ir man padėjo perprasti
Silicio slėnio modelį. Savo mobiliųjų reklamų verslą „AdMob“
jis pradėjo nuo prekybos reklama „GetJar“ platformoje. Išplė-
tojęs verslą po kelerių metų jis kompaniją pardavė „Google“ už
750 mln. JAV dolerių. Net ir po šio sėkmingo sandorio Omaras
toliau investuoja ir kuria naujus verslus.
      Kitas pažįstamas – įdomi ir kūrybinga asmenybė An-
drey’us Andreevas − Rusijoje sukūrė ir išplėtojo internetinės
      32   ilja laurs
",https://images.unsplash.com/photo-1531635410863-4c7d45c6f712?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjQxOTA5fQ
